"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2021","38.14","36.46","38.78","35.85","8.21M","4.63%"
"Apr 29, 2021","36.46","36.25","37.42","35.01","7.85M","0.56%"
"Apr 28, 2021","36.25","36.78","37.78","34.94","8.18M","-1.46%"
"Apr 27, 2021","36.79","35.11","37.65","34.51","9.33M","4.79%"
"Apr 26, 2021","35.11","31.60","35.24","31.43","10.93M","11.11%"
"Apr 25, 2021","31.60","31.21","33.41","29.89","8.22M","1.28%"
"Apr 24, 2021","31.20","35.13","35.25","31.03","10.45M","-11.19%"
"Apr 23, 2021","35.13","35.20","35.91","30.09","24.81M","-0.29%"
"Apr 22, 2021","35.23","36.27","40.69","33.90","21.44M","-2.88%"
"Apr 21, 2021","36.27","39.02","39.44","35.96","11.65M","-6.97%"
"Apr 20, 2021","38.99","35.77","39.33","33.30","19.20M","9.03%"
"Apr 19, 2021","35.76","39.09","41.94","34.93","20.77M","-8.49%"
"Apr 18, 2021","39.08","39.92","40.29","29.71","26.79M","-2.12%"
"Apr 17, 2021","39.93","41.98","44.06","39.91","10.57M","-4.88%"
"Apr 16, 2021","41.98","42.60","43.24","38.66","15.43M","-1.47%"
"Apr 15, 2021","42.60","41.33","44.30","39.74","19.15M","3.02%"
"Apr 14, 2021","41.35","35.50","41.97","35.05","21.75M","16.57%"
"Apr 13, 2021","35.48","33.10","35.84","32.39","9.27M","7.17%"
"Apr 12, 2021","33.10","33.90","34.11","31.89","6.05M","-2.36%"
"Apr 11, 2021","33.90","31.92","34.37","31.75","7.32M","6.22%"
"Apr 10, 2021","31.92","31.59","32.99","31.10","5.32M","1.04%"
"Apr 09, 2021","31.59","32.78","33.26","31.26","4.67M","-3.64%"
"Apr 08, 2021","32.78","31.12","32.88","31.00","5.54M","5.34%"
"Apr 07, 2021","31.12","34.72","35.07","30.27","13.63M","-10.36%"
"Apr 06, 2021","34.72","32.33","34.87","31.32","14.70M","7.40%"
"Apr 05, 2021","32.33","30.76","32.59","29.63","7.78M","5.13%"
"Apr 04, 2021","30.75","29.31","31.45","28.79","5.02M","4.91%"
"Apr 03, 2021","29.31","32.46","33.16","29.24","8.61M","-9.71%"
"Apr 02, 2021","32.46","30.07","32.54","29.56","7.18M","7.95%"
"Apr 01, 2021","30.07","29.37","31.11","29.34","9.23M","2.40%"
"Mar 31, 2021","29.37","27.84","29.37","26.33","7.55M","5.49%"
"Mar 30, 2021","27.84","28.04","28.56","27.54","3.83M","-0.68%"
"Mar 29, 2021","28.03","26.66","28.59","26.39","5.85M","5.15%"
"Mar 28, 2021","26.66","26.85","27.65","26.12","3.72M","-0.72%"
"Mar 27, 2021","26.85","27.40","27.47","26.01","3.37M","-1.95%"
"Mar 26, 2021","27.39","25.53","27.40","25.37","6.61M","7.29%"
