"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 04, 2021","1.0003","0.9996","1.0008","0.9992","95.24M","0.07%"
"Apr 03, 2021","0.9996","0.9996","1.0006","0.9991","126.37M","-0.02%"
"Apr 02, 2021","0.9998","0.9998","1.0003","0.9995","205.50M","0.00%"
"Apr 01, 2021","0.9998","1.0003","1.0003","0.9993","233.25M","-0.05%"
"Mar 31, 2021","1.0002","1.0008","1.0018","0.9999","269.74M","-0.07%"
"Mar 30, 2021","1.0009","1.0002","1.0013","1.0002","197.43M","0.07%"
"Mar 29, 2021","1.0002","0.9998","1.0014","0.9998","218.76M","0.04%"
"Mar 28, 2021","0.9999","1.0004","1.0009","0.9997","118.91M","-0.05%"
"Mar 27, 2021","1.0004","1.0001","1.0007","0.9997","125.61M","0.03%"
"Mar 26, 2021","1.0001","1.0004","1.0009","0.9998","186.99M","-0.03%"
"Mar 25, 2021","1.0004","1.0004","1.0006","0.9986","227.32M","0.02%"
"Mar 24, 2021","1.0002","1.0001","1.0012","0.9994","235.91M","0.01%"
"Mar 23, 2021","1.0000","1.0004","1.0006","0.9993","253.32M","-0.03%"
"Mar 22, 2021","1.0004","1.0000","1.0006","0.9993","243.96M","0.02%"
"Mar 21, 2021","1.0001","0.9997","1.0002","0.9988","194.14M","0.04%"
"Mar 20, 2021","0.9997","1.0001","1.0010","0.9996","129.42M","-0.04%"
"Mar 19, 2021","1.0001","0.9998","1.0005","0.9991","169.85M","0.02%"
"Mar 18, 2021","0.9999","0.9994","1.0008","0.9984","200.28M","0.04%"
"Mar 17, 2021","0.9994","1.0001","1.0008","0.9988","299.07M","-0.06%"
"Mar 16, 2021","1.0000","1.0012","1.0021","0.9989","253.79M","-0.06%"
"Mar 15, 2021","1.0006","0.9998","1.0015","0.9989","267.01M","0.09%"
"Mar 14, 2021","0.9997","1.0000","1.0007","0.9994","128.64M","-0.03%"
"Mar 13, 2021","0.9999","1.0005","1.0019","0.9994","221.95M","-0.06%"
"Mar 12, 2021","1.0005","1.0014","1.0019","1.0002","171.11M","-0.02%"
"Mar 11, 2021","1.0007","1.0008","1.0017","1.0002","186.57M","0.00%"
"Mar 10, 2021","1.0008","1.0009","1.0015","1.0003","218.40M","-0.01%"
"Mar 09, 2021","1.0009","1.0004","1.0014","1.0003","187.10M","0.05%"
"Mar 08, 2021","1.0004","1.0004","1.0010","0.9998","157.45M","0.00%"
"Mar 07, 2021","1.0004","1.0002","1.0008","0.9998","105.67M","0.03%"
"Mar 06, 2021","1.0002","1.0011","1.0019","0.9989","209.37M","-0.09%"
"Mar 05, 2021","1.0011","1.0002","1.0019","1.0002","177.61M","0.08%"
"Mar 04, 2021","1.0002","1.0006","1.0014","0.9997","197.17M","-0.03%"
"Mar 03, 2021","1.0006","1.0013","1.0018","1.0003","132.84M","-0.07%"
"Mar 02, 2021","1.0013","1.0002","1.0013","0.9995","232.91M","0.10%"
"Mar 01, 2021","1.0003","1.0024","1.0030","1.0003","213.11M","-0.21%"
"Feb 28, 2021","1.0024","1.0013","1.0029","1.0011","187.25M","0.11%"
"Feb 27, 2021","1.0013","0.9998","1.0014","0.9992","159.75M","0.15%"
"Feb 26, 2021","0.9998","1.0003","1.0014","0.9977","366.62M","-0.05%"
"Feb 25, 2021","1.0003","1.0009","1.0017","0.9999","208.74M","-0.05%"
"Feb 24, 2021","1.0009","0.9999","1.0016","0.9991","274.34M","0.09%"
"Feb 23, 2021","0.9999","0.9999","1.0004","0.9957","460.01M","0.00%"
"Feb 22, 2021","1.0000","1.0001","1.0010","0.9987","357.99M","-0.01%"
"Feb 21, 2021","1.0001","0.9993","1.0010","0.9992","134.00M","0.03%"
"Feb 20, 2021","0.9997","1.0000","1.0007","0.9991","261.86M","-0.03%"
"Feb 19, 2021","1.0000","0.9998","1.0012","0.9992","184.68M","0.00%"
"Feb 18, 2021","1.0000","0.9997","1.0010","0.9996","156.03M","-0.02%"
"Feb 17, 2021","1.0003","1.0005","1.0019","0.9999","167.39M","-0.03%"
"Feb 16, 2021","1.0005","1.0003","1.0010","0.9991","174.02M","0.03%"
"Feb 15, 2021","1.0003","1.0007","1.0008","0.9993","220.95M","-0.05%"
"Feb 14, 2021","1.0008","1.0006","1.0012","0.9997","137.45M","0.02%"
"Feb 13, 2021","1.0005","1.0016","1.0024","0.9994","171.11M","-0.11%"
"Feb 12, 2021","1.0016","1.0004","1.0017","0.9999","236.83M","0.12%"
"Feb 11, 2021","1.0004","1.0007","1.0015","0.9999","197.72M","-0.03%"
"Feb 10, 2021","1.0007","1.0012","1.0015","0.9994","223.48M","-0.05%"
"Feb 09, 2021","1.0012","1.0013","1.0039","1.0000","230.86M","-0.01%"
"Feb 08, 2021","1.0013","1.0012","1.0038","0.9997","317.11M","0.01%"
"Feb 07, 2021","1.0011","1.0009","1.0018","1.0000","172.38M","0.02%"
"Feb 06, 2021","1.0010","0.9995","1.0028","0.9992","145.43M","0.10%"
"Feb 05, 2021","1.0000","1.0006","1.0018","0.9997","195.49M","-0.06%"
"Feb 04, 2021","1.0006","1.0008","1.0023","1.0001","165.61M","-0.03%"
"Feb 03, 2021","1.0009","1.0020","1.0034","1.0006","175.45M","-0.08%"
"Feb 02, 2021","1.0016","1.0007","1.0025","1.0007","171.03M","0.08%"
"Feb 01, 2021","1.0008","1.0009","1.0015","0.9996","172.75M","-0.01%"
"Jan 31, 2021","1.0009","1.0013","1.0017","0.9998","112.33M","-0.04%"
"Jan 30, 2021","1.0013","1.0005","1.0016","0.9996","121.27M","0.08%"
"Jan 29, 2021","1.0005","1.0013","1.0045","0.9992","356.94M","-0.07%"
"Jan 28, 2021","1.0013","1.0018","1.0028","1.0003","219.88M","-0.06%"
"Jan 27, 2021","1.0018","1.0011","1.0026","0.9997","201.35M","0.07%"
"Jan 26, 2021","1.0011","0.9999","1.0024","0.9997","197.34M","0.12%"
"Jan 25, 2021","0.9999","1.0015","1.0026","0.9996","154.99M","-0.16%"
"Jan 24, 2021","1.0015","1.0004","1.0042","1.0000","133.19M","0.11%"
"Jan 23, 2021","1.0004","1.0015","1.0029","1.0003","99.04M","-0.12%"
"Jan 22, 2021","1.0015","1.0001","1.0025","0.9982","256.00M","0.14%"
"Jan 21, 2021","1.0001","1.0009","1.0014","0.9980","233.50M","-0.08%"
"Jan 20, 2021","1.0009","1.0004","1.0010","0.9979","195.18M","0.05%"
"Jan 19, 2021","1.0004","1.0010","1.0041","1.0002","180.61M","-0.07%"
"Jan 18, 2021","1.0011","1.0008","1.0016","1.0000","109.01M","0.03%"
"Jan 17, 2021","1.0008","1.0003","1.0013","0.9988","119.13M","0.05%"
"Jan 16, 2021","1.0003","0.9998","1.0022","0.9989","138.84M","0.04%"
"Jan 15, 2021","0.9998","0.9990","1.0004","0.9979","171.78M","0.09%"
"Jan 14, 2021","0.9990","0.9998","1.0015","0.9986","187.85M","-0.09%"
"Jan 13, 2021","0.9999","1.0018","1.0030","0.9996","174.53M","-0.12%"
"Jan 12, 2021","1.0011","1.0004","1.0024","0.9987","235.78M","0.06%"
"Jan 11, 2021","1.0004","1.0004","1.0036","0.9993","351.95M","0.00%"
"Jan 10, 2021","1.0004","1.0028","1.0028","0.9991","249.20M","-0.23%"
"Jan 09, 2021","1.0027","0.9995","1.0030","0.9984","202.64M","0.31%"
"Jan 08, 2021","0.9996","0.9999","1.0012","0.9976","250.27M","-0.03%"
"Jan 07, 2021","0.9999","1.0004","1.0017","0.9986","246.01M","-0.13%"
"Jan 06, 2021","1.0012","1.0019","1.0027","0.9969","289.40M","-0.07%"
"Jan 05, 2021","1.0019","0.9997","1.0027","0.9992","208.06M","0.19%"
"Jan 04, 2021","1.0000","1.0001","1.0025","0.9986","297.27M","0.00%"
"Jan 03, 2021","1.0000","0.9998","1.0021","0.9982","193.83M","-0.03%"
"Jan 02, 2021","1.0003","1.0018","1.0018","0.9992","183.93M","-0.15%"
"Jan 01, 2021","1.0018","1.0004","1.0020","0.9998","174.73M","0.13%"
