,date,num_tweets,replies_sum,retweets_sum,likes_sum,subjectivity_sum,polarity_sum,replies_avg,retweets_avg,likes_avg,subjectivity_avg,polarity_avg,tone_most_common
0,2021-01-01,15,16,4,21,2.0545454545454547,-0.26363636363636367,1.0666666666666667,0.26666666666666666,1.4,0.136969696969697,-0.017575757575757578,Neutral
0,2021-01-02,20,3,9,16,3.041666666666666,0.9083333333333332,0.15,0.45,0.8,0.15208333333333335,0.04541666666666667,Neutral
0,2021-01-03,21,8,8,55,4.388888888888889,1.234027777777778,0.38095238095238093,0.38095238095238093,2.619047619047619,0.208994708994709,0.05876322751322751,Neutral
0,2021-01-04,37,6,8,108,7.5565476190476195,4.508928571428571,0.16216216216216217,0.21621621621621623,2.918918918918919,0.20423101673101673,0.12186293436293436,Neutral
0,2021-01-05,33,3,5,55,6.507626262626264,3.568232323232323,0.09090909090909091,0.15151515151515152,1.6666666666666667,0.19720079583715946,0.10812825221916131,Neutral
0,2021-01-06,19,11,16,93,2.6862914862914864,1.2761701839826838,0.5789473684210527,0.8421052631578947,4.894736842105263,0.14138376243639403,0.0671668517885623,Neutral
0,2021-01-07,23,5,5,46,2.652380952380952,0.7435267857142857,0.21739130434782608,0.21739130434782608,2.0,0.11532091097308486,0.032327251552795026,Neutral
0,2021-01-08,30,6,1,13,8.55073593073593,3.505573593073593,0.2,0.03333333333333333,0.43333333333333335,0.285024531024531,0.1168524531024531,Positive
0,2021-01-09,49,8,12,77,9.272601010101008,2.03677398989899,0.16326530612244897,0.24489795918367346,1.5714285714285714,0.18923675530818387,0.04156681612038754,Neutral
0,2021-01-10,23,4,2,37,6.009848484848486,3.5017045454545452,0.17391304347826086,0.08695652173913043,1.608695652173913,0.2612977602108037,0.15224802371541502,Neutral
0,2021-01-11,14,6,3,17,1.7166666666666668,1.15,0.42857142857142855,0.21428571428571427,1.2142857142857142,0.12261904761904763,0.08214285714285714,Neutral
0,2021-01-12,15,0,4,36,2.0,-0.3,0.0,0.26666666666666666,2.4,0.13333333333333333,-0.02,Neutral
0,2021-01-13,18,4,8,67,2.487878787878788,1.1704545454545454,0.2222222222222222,0.4444444444444444,3.7222222222222223,0.1382154882154882,0.06502525252525253,Neutral
0,2021-01-14,19,3,9,38,3.619545454545455,1.2613636363636362,0.15789473684210525,0.47368421052631576,2.0,0.1905023923444976,0.06638755980861244,Neutral
0,2021-01-15,14,5,37,137,2.927222222222222,-0.42722222222222234,0.35714285714285715,2.642857142857143,9.785714285714286,0.20908730158730157,-0.030515873015873024,Neutral
0,2021-01-16,18,5,1,29,5.717857142857144,1.5413690476190478,0.2777777777777778,0.05555555555555555,1.6111111111111112,0.3176587301587302,0.08563161375661375,Positive
0,2021-01-17,9,7,17,64,2.696428571428571,1.4821428571428572,0.7777777777777778,1.8888888888888888,7.111111111111111,0.2996031746031746,0.16468253968253968,Neutral
0,2021-01-18,26,9,46,202,5.526212121212121,1.665530303030303,0.34615384615384615,1.7692307692307692,7.769230769230769,0.21254662004662006,0.0640588578088578,Neutral
0,2021-01-19,24,4,18,83,4.766666666666667,2.9066666666666667,0.16666666666666666,0.75,3.4583333333333335,0.1986111111111111,0.1211111111111111,Neutral
0,2021-01-20,16,4,0,9,4.244166666666667,2.7375000000000003,0.25,0.0,0.5625,0.26526041666666667,0.17109375,Positive
0,2021-01-21,21,6,8,30,7.604448051948052,3.2231737012987014,0.2857142857142857,0.38095238095238093,1.4285714285714286,0.36211657390228824,0.15348446196660484,Positive
0,2021-01-22,30,11,49,208,9.811785714285712,4.642261904761905,0.36666666666666664,1.6333333333333333,6.933333333333334,0.32705952380952374,0.1547420634920635,Positive
0,2021-01-23,12,0,3,23,2.2753787878787883,1.7738636363636364,0.0,0.25,1.9166666666666667,0.189614898989899,0.1478219696969697,Neutral
0,2021-01-24,13,7,34,159,2.469823232323232,0.18844696969696964,0.5384615384615384,2.6153846153846154,12.23076923076923,0.18998640248640247,0.014495920745920744,Neutral
0,2021-01-25,8,0,0,3,2.213257575757576,1.4602272727272727,0.0,0.0,0.375,0.276657196969697,0.1825284090909091,Positive
0,2021-01-26,4,1,19,68,1.54,0.16,0.25,4.75,17.0,0.385,0.04,Neutral
0,2021-01-27,16,1,0,6,8.566666666666666,4.4,0.0625,0.0,0.375,0.5354166666666667,0.275,Positive
0,2021-01-28,14,3,2,10,1.5416666666666665,0.7083333333333333,0.21428571428571427,0.14285714285714285,0.7142857142857143,0.1101190476190476,0.05059523809523809,Neutral
0,2021-01-29,11,2,3,31,3.2295454545454545,1.115530303030303,0.18181818181818182,0.2727272727272727,2.8181818181818183,0.29359504132231407,0.10141184573002754,Positive
0,2021-01-30,7,2,0,11,1.6166666666666667,0.8500000000000001,0.2857142857142857,0.0,1.5714285714285714,0.23095238095238096,0.12142857142857144,Positive
0,2021-01-31,11,0,1,7,1.3712121212121213,0.4204545454545454,0.0,0.09090909090909091,0.6363636363636364,0.12465564738292012,0.038223140495867766,Neutral
0,2021-02-01,4,0,1,5,1.0,1.0,0.0,0.25,1.25,0.25,0.25,Positive
0,2021-02-02,4,0,4,5,1.3357142857142856,0.9732142857142857,0.0,1.0,1.25,0.3339285714285714,0.24330357142857142,Positive
