,date,num_tweets,replies_sum,retweets_sum,likes_sum,subjectivity_sum,polarity_sum,replies_avg,retweets_avg,likes_avg,subjectivity_avg,polarity_avg,tone_most_common
0,2021-01-01,1766,2620,2650,25575,444.88579735542197,136.32634135908944,1.4835787089467725,1.5005662514156286,14.481879954699886,0.2519172125455393,0.07719498378204384,Neutral
0,2021-01-02,2257,2698,5239,26476,597.5952562252563,207.12505981503995,1.1953921134249004,2.3212228622064686,11.730615861763402,0.2647741498561171,0.0917700752392735,Neutral
0,2021-01-03,4121,5067,5889,55640,946.7267921047221,327.849107161092,1.2295559330259647,1.4290220820189274,13.501577287066246,0.22973229607006085,0.0795557163700783,Neutral
0,2021-01-04,2359,2621,2797,28046,604.5840498978533,213.31665014945364,1.1110640101738025,1.185671894870708,11.888935989826198,0.25628827888844996,0.0904267274902305,Neutral
0,2021-01-05,2887,3366,3308,33082,680.1905528707413,256.4932026411079,1.1659161759612053,1.14582611707655,11.458953931416696,0.2356046251717147,0.0888441990443744,Neutral
0,2021-01-06,4870,7668,7783,59551,1127.2793649723365,420.1421606465602,1.5745379876796715,1.5981519507186859,12.228131416837781,0.231474202253045,0.08627149089251794,Neutral
0,2021-01-07,2793,2649,6871,27871,672.9120774595779,214.48417116665095,0.9484425349087003,2.460078768349445,9.978875760830649,0.24092806210511186,0.0767934733858402,Neutral
0,2021-01-08,3064,3379,3754,29073,646.1324319793976,203.64932266620093,1.1028067885117494,1.225195822454308,9.488577023498694,0.21087873106377164,0.06646518363779422,Neutral
0,2021-01-09,4540,5388,6194,58251,1235.0422828692472,375.17582184112683,1.186784140969163,1.36431718061674,12.830616740088105,0.27203574512538486,0.08263784622051233,Neutral
0,2021-01-10,2779,2675,2559,24047,622.0662638604831,244.15175286640834,0.9625764663548039,0.9208348326736236,8.653112630442605,0.2238453630300389,0.0878559744031697,Neutral
0,2021-01-11,3011,5624,3452,31531,663.5793727040174,208.2648176058316,1.867818000664231,1.1464629691132515,10.471936233809366,0.2203850457336485,0.06916798990562345,Neutral
0,2021-01-12,2350,2982,3542,27002,600.8148861231363,207.73008679240274,1.268936170212766,1.5072340425531916,11.490212765957446,0.25566590898856856,0.0883957816137886,Neutral
0,2021-01-13,2851,4325,7395,45879,689.2216153562052,252.7482902502378,1.517011574886005,2.5938267274640476,16.092248333917922,0.24174732211722366,0.08865250447219865,Neutral
0,2021-01-14,3919,4922,5892,56702,873.6056105217564,327.9208825759249,1.255932635876499,1.5034447563153865,14.468486858892575,0.22291544029644128,0.08367463194078217,Neutral
0,2021-01-15,9553,9637,9833,123222,2238.411662664671,751.3097743958797,1.0087930493038837,1.0293101643462788,12.898775253846958,0.23431504895474892,0.07864647486610143,Neutral
0,2021-01-16,4407,7224,9513,61015,1042.9401431577703,368.92639121568135,1.6392103471749488,2.1586113002042207,13.845019287497164,0.23665535356427683,0.083713726166481,Neutral
0,2021-01-17,4619,7931,8942,76272,1124.4877584062792,400.01223286173536,1.7170383199826802,1.9359168651223209,16.512665079021435,0.24344831314273144,0.08660147929459527,Neutral
0,2021-01-18,3433,4851,5159,49703,859.1468828948823,312.35402687731056,1.4130498106612293,1.5027672589571803,14.47800757355083,0.2502612533920428,0.09098573459869241,Neutral
0,2021-01-19,2923,2768,3733,34804,719.00193658524,265.18455858542876,0.9469722887444406,1.2771125555935683,11.906944919603147,0.24598081990600074,0.09072342065871676,Neutral
0,2021-01-20,2537,2949,3174,28874,639.4062428774932,229.0199247121506,1.162396531336224,1.2510839574300354,11.381158849034293,0.25203241737386395,0.09027194509741872,Neutral
0,2021-01-21,3533,3764,5914,40961,898.4141738248499,373.13114264391857,1.0653835267478065,1.6739315029719786,11.593829606566658,0.2542921522289421,0.10561311708007937,Neutral
0,2021-01-22,4963,5731,9124,77626,1118.3039486095986,436.0196066648609,1.154745113842434,1.8384041910134998,15.640942978037478,0.22532821853910767,0.08785404123813435,Neutral
0,2021-01-23,5957,7250,7498,87065,1289.9373895766932,441.6711124566772,1.217055564881652,1.2586872586872586,14.615578311230486,0.21654144528734148,0.07414321176039579,Neutral
0,2021-01-24,3591,4658,5708,51846,812.9233944329505,280.6971525469395,1.2971317181843498,1.5895293790030631,14.437761069340016,0.2263779990066689,0.07816684838399902,Neutral
0,2021-01-25,2852,3622,4232,37110,713.6354809403559,244.95302698487785,1.269985974754558,1.4838709677419355,13.011921458625526,0.2502228194040519,0.0858881581293403,Neutral
0,2021-01-26,2734,3262,3982,38151,640.9339540043297,250.67888517616612,1.193123628383321,1.4564740307242137,13.95427944403804,0.23443085369580433,0.09168942398543029,Neutral
0,2021-01-27,3235,3015,4295,36445,773.2676355172606,235.37526498429133,0.9319938176197836,1.3276661514683152,11.265842349304481,0.23903172658957048,0.07275896908324338,Neutral
0,2021-01-28,5165,4839,8145,64709,1109.0927628713882,330.51412891846235,0.9368828654404646,1.5769603097773475,12.528363988383349,0.21473238390539942,0.06399111886127064,Neutral
0,2021-01-29,3611,5979,5643,37575,755.8883177424424,271.6918287417509,1.6557740238161174,1.5627250069232899,10.405704790916644,0.20932935966281993,0.07524005226855486,Neutral
0,2021-01-30,3046,4140,4655,40554,719.2073062606588,215.68341043560883,1.3591595535128036,1.5282337491792515,13.313854235062378,0.23611533363777362,0.07080873619028544,Neutral
0,2021-01-31,2292,3368,4005,28743,550.9045802563837,173.73171070102583,1.469458987783595,1.7473821989528795,12.540575916230367,0.24035976450976607,0.07579917569852791,Neutral
